Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,6.009615,6.109776,5.949519,5.989583,1.009673,269568
1962-01-03,5.959535,5.959535,5.909455,5.929487,0.999543,184704
1962-01-04,5.929487,5.979567,5.809295,5.859375,0.987725,229632
1962-01-05,5.859375,5.869391,5.608974,5.709135,0.962398,340704
1962-01-08,5.709135,5.709135,5.528846,5.699119,0.960710,386880
1962-01-09,5.699119,5.779247,5.659054,5.729167,0.965775,290784
1962-01-10,5.729167,5.789263,5.709135,5.759215,0.970840,244608
1962-01-11,5.759215,5.769231,5.659054,5.769231,0.972529,203424
1962-01-12,5.769231,5.779247,5.669071,5.689103,0.959022,210912
1962-01-15,5.699119,5.769231,5.699119,5.749199,0.969152,264576
1962-01-16,5.749199,5.819311,5.709135,5.799279,0.977594,173472
1962-01-17,5.789263,5.789263,5.629006,5.669071,0.955644,267072
1962-01-18,5.669071,5.729167,5.659054,5.729167,0.965775,184704
1962-01-19,5.729167,5.779247,5.729167,5.779247,0.974217,165984
1962-01-22,5.789263,5.869391,5.789263,5.799279,0.977594,177216
1962-01-23,5.779247,5.779247,5.669071,5.689103,0.959022,284544
1962-01-24,5.689103,5.819311,5.669071,5.799279,0.977594,199680
1962-01-25,5.799279,5.839343,5.699119,5.739183,0.967464,198432
1962-01-26,5.739183,5.749199,5.699119,5.719151,0.964087,126048
1962-01-29,5.719151,5.749199,5.709135,5.729167,0.965775,127296
1962-01-30,5.799279,5.889423,5.799279,5.829327,0.982660,222144
1962-01-31,5.829327,6.009615,5.819311,6.009615,1.013051,234624
1962-02-01,6.009615,6.039663,5.909455,5.969551,1.006297,320736
1962-02-02,5.969551,5.999599,5.929487,5.999599,1.011362,184704
1962-02-05,5.989583,5.989583,5.889423,5.889423,0.992791,175968
1962-02-06,5.909455,5.969551,5.909455,5.949519,1.002921,129792
1962-02-07,5.949519,6.009615,5.929487,6.009615,1.013051,210912
1962-02-08,6.009615,6.049679,5.999599,6.049679,1.019804,219648
1962-02-09,6.049679,6.049679,5.939503,6.019631,1.014739,188448
1962-02-12,6.019631,6.039663,5.989583,6.019631,1.014739,102336
1962-02-13,6.029647,6.089744,6.029647,6.089744,1.026558,151008
1962-02-14,6.089744,6.159856,6.079728,6.139824,1.035001,202176
1962-02-15,6.149840,6.250000,6.149840,6.229968,1.050197,233376
1962-02-16,6.229968,6.239984,6.139824,6.189904,1.043443,292032
1962-02-19,6.189904,6.219952,6.109776,6.139824,1.035001,194688
1962-02-20,6.139824,6.139824,6.049679,6.129808,1.033313,133536
1962-02-21,6.129808,6.159856,6.069712,6.109776,1.029935,134784
1962-02-23,6.109776,6.119792,6.039663,6.049679,1.019804,203424
1962-02-26,6.049679,6.069712,5.919471,5.969551,1.006297,157248
1962-02-27,5.969551,6.009615,5.959535,6.009615,1.013051,116064
1962-02-28,6.009615,6.029647,5.959535,5.979567,1.007985,207168
1962-03-01,6.009615,6.089744,6.009615,6.089744,1.026558,113568
1962-03-02,6.099760,6.169872,6.099760,6.129808,1.033313,157248
1962-03-05,6.139824,6.189904,6.139824,6.139824,1.035001,173472
1962-03-06,6.139824,6.149840,6.029647,6.049679,1.019804,117312
1962-03-07,6.049679,6.119792,6.049679,6.089744,1.026558,126048
1962-03-08,6.089744,6.199920,6.069712,6.179888,1.041754,220896
1962-03-09,6.209936,6.280048,6.209936,6.270032,1.056950,247104
1962-03-12,6.270032,6.290064,6.250000,6.280048,1.058639,263328
1962-03-13,6.280048,6.280048,6.209936,6.250000,1.060337,160992
1962-03-14,6.250000,6.260016,6.179888,6.219952,1.055239,136032
1962-03-15,6.219952,6.290064,6.189904,6.239984,1.058638,235872
1962-03-16,6.250000,6.290064,6.250000,6.280048,1.065436,129792
1962-03-19,6.280048,6.280048,6.209936,6.209936,1.053540,138528
1962-03-20,6.209936,6.229968,6.189904,6.209936,1.053540,106080
1962-03-21,6.209936,6.229968,6.189904,6.199920,1.051841,200928
1962-03-22,6.199920,6.219952,6.169872,6.169872,1.046744,127296
1962-03-23,6.179888,6.250000,6.179888,6.250000,1.060337,159744
1962-03-26,6.239984,6.239984,6.149840,6.149840,1.043345,144768
1962-03-27,6.149840,6.199920,6.129808,6.199920,1.051841,156000
1962-03-28,6.209936,6.280048,6.209936,6.239984,1.058638,165984
1962-03-29,6.239984,6.290064,6.199920,6.229968,1.056939,146016
1962-03-30,6.229968,6.239984,6.119792,6.159856,1.045045,183456
1962-04-02,6.149840,6.149840,6.109776,6.129808,1.039947,142272
1962-04-03,6.129808,6.129808,6.019631,6.059696,1.028051,212160
1962-04-04,6.059696,6.119792,6.049679,6.069712,1.029751,170976
1962-04-05,6.069712,6.119792,6.019631,6.119792,1.038247,220896
1962-04-06,6.119792,6.149840,6.069712,6.079728,1.031451,175968
1962-04-09,6.079728,6.099760,6.059696,6.069712,1.029751,148512
1962-04-10,6.059696,6.059696,5.979567,5.979567,1.014457,178464
1962-04-11,5.979567,6.039663,5.839343,5.869391,0.995766,157248
1962-04-12,5.869391,5.899439,5.819311,5.839343,0.990668,179712
1962-04-13,5.849359,6.059696,5.849359,5.989583,1.016156,213408
1962-04-16,5.989583,5.999599,5.889423,5.939503,1.007661,189696
1962-04-17,5.939503,5.969551,5.929487,5.949519,1.009360,179712
1962-04-18,5.949519,5.969551,5.889423,5.929487,1.005961,440544
1962-04-19,5.929487,5.959535,5.919471,5.939503,1.007661,127296
1962-04-23,5.939503,5.959535,5.909455,5.909455,1.002562,215904
1962-04-24,5.909455,5.919471,5.869391,5.869391,0.995766,278304
1962-04-25,5.869391,5.899439,5.789263,5.789263,0.982171,275808
1962-04-26,5.789263,5.859375,5.769231,5.789263,0.982171,179712
1962-04-27,5.789263,5.879407,5.649038,5.689103,0.965180,267072
1962-04-30,5.689103,5.729167,5.408654,5.488782,0.931194,345696
1962-05-01,5.488782,5.649038,5.408654,5.618990,0.953284,398112
1962-05-02,5.629006,5.739183,5.629006,5.669071,0.961780,363168
1962-05-03,5.699119,5.769231,5.699119,5.769231,0.978774,389376
1962-05-04,5.769231,5.789263,5.699119,5.749199,0.975375,247104
1962-05-07,5.749199,5.759215,5.659054,5.689103,0.965180,260832
1962-05-08,5.689103,5.689103,5.639022,5.679087,0.963480,193440
1962-05-09,5.679087,5.689103,5.629006,5.669071,0.961780,273312
1962-05-10,5.669071,5.709135,5.578926,5.618990,0.953284,330720
